Qualified DC,VRA 3.0 ,Notes,Vocabularies,,,,,,,,,,
,,,,,,,,,,,,,
Derived from resource location,Work Record ID,,,,,,,,,,,,
Derived from resource location,Reproduction Record ID,,,,,,,,,,,,
title,Thumbnail Title,,,,,,,,,,,,
,"  For back of photograph, add ""(back of photograph)"" after title taken from dc title field",,,,,,,,,,,,
contributor:author,Thumbnail Creator,"If photographer's name is known, it should be used here. If not known, use corporate name associated with work.",LCNAF,,,,,,,,,,
date:created,Thumbnail Date,"Format: mm/dd/yyyy, remove timestamp",,,,,,,,,,,
varies (see below),Thumbnail Work Type,,,,,,,,,,,,
format.medium 'photographic prints',"  For gelatin silver print, take from: format.medium 'photographic prints' ","Plural in DC, use singular form for VRA",,,,,,,,,,,
NA,  For gelatin silver negative: negative (photographic) ,,,,,,,,,,,,
NA,  For acetate negative: negative (photographic),,,,,,,,,,,,
NA,  For glass negative: negative (photographic),,,,,,,,,,,,
type,Work Class,"Singular in DC, use plural in VRA",Prefer use of AAT,,,,,,,,,,
varies (see below),Work Type,,Prefer use of AAT  use TGM if desired term is unavailable in AAT,,,,,,,,,,
format.medium 'photographic prints',"  For gelatin silver print, take from: format.medium 'photographic prints' ","Plural in DC, use singular form for VRA",,,,,,,,,,,
NA,  For gelatin silver negative: negative (photographic) ,,,,,,,,,,,,
NA,  For acetate negative: negative (photographic),,,,,,,,,,,,
NA,  For glass negative: negative (photographic),,,,,,,,,,,,
title,Title ,,,,,,,,,,,,
,"  For back of photograph, add ""(back of photograph)"" after title taken from dc title field",Both front and back titles are constructed titles,,,,,,,,,,,
NA,Title Type,,,,,,,,,,,,
,   Value= constructed title,,,,,,,,,,,,
format:extent,Measurements,"need to convert from in to cm., Linda has macro that can do this. Also, do not abbreviate inches, feet, or yard. Include inches in parantheses after cm. Ex. 20 x 30 cm. (… inches)",,,,,,,,,,,
NA,Measurement Type,,,,,,,,,,,,
,   Value= overall,,,,,,,,,,,,
varies (see below),Material,"Plural in DC, use singular form for VRA",,,,,,,,,,,
